video_name|index|start_frame|end_frame|start_sec|end_sec|target
1583882_1a1|1|951|1026|19.02|20.52|Die Buchstaben waren teuer.
1583882_1a1|2|1026|1188|20.52|23.76|Ich glaube einer oder zwei haben 10 Pfennig gekostet.
1583882_1a1|3|1188|1333|23.76|26.66|Zehn Pfennig pro Buchstabe.
1583882_1a1|4|1333|1416|26.66|28.32|Ich hab mich mit der Post gestritten.
1583882_1a1|5|1416|1581|28.32|31.62|Die Post war doof, ich hatte nicht gedacht, dass es insgesamt so teuer wird.
1583882_1a1|6|1581|1702|31.62|34.04|Ich dachte, es würde 2,50 kosten.
1583882_1a1|7|1701|1820|34.02|36.4|Aber dann wurde jedes einzelne Wort nachgezählt.
1583882_1a1|8|1820|1868|36.4|37.36|Da wurde ich wütend.
1583882_1a1|9|2475|2561|49.5|51.22|Das milchige, genau.
1583882_1a1|10|3269|3689|65.38|73.78|Beim Mauerfall bin ich gleich am 9. November/
1583882_1a1|11|3689|3964|73.78|79.28|Direkt nach dem Mauerfall bin ich los, meine beste Freundin besuchen, mit der ich zusammen zur Schule gegangen war.
1583882_1a1|12|3964|4012|79.28|80.24|Ich hatte sie damals aus den Augen verloren.
1583882_1a1|13|4011|4331|80.22|86.62|Als dann die Mauer gefallen war, freute ich mich, dass ich endlich zu ihr nach Westberlin fahren konnte.
1583882_1a1|14|4331|4430|86.62|88.6|Wir hatten uns lange nicht mehr gesehen.
1583882_1a1|15|4527|4705|90.54|94.1|Ich bin also los und hab sie besucht, worüber sie sich sehr gefreut hat.
1583882_1a1|16|4877|5042|97.54|100.84|Ach, ein Fax?
1583882_1a1|17|5042|5213|100.84|104.26|Ein Schreibtelefon gab es auch.
1583882_1a1|18|5213|5329|104.26|106.58|Die Schriftanzeige fand ich auch interessant und hilfreich.
1583882_1a1|19|5329|5419|106.58|108.38|Nicht schlecht, dass man den Text auf einem Display sehen kann.
1583882_1a1|20|5419|5536|108.38|110.72|Meine Freundin hat mich gefragt, ob sie auch eins für mich besorgen soll.
1583882_1a1|21|6022|6146|120.44|122.92|Ich konnte es kaum erwarten eins zu kaufen.
